Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40308_AvalParcial,40308_TaxaAssid,40335_AvalParcial,40335_TaxaAssid,42782_AvalParcial,42782_TaxaAssid,43501_AvalParcial,43501_TaxaAssid,44243_AvalParcial,44243_TaxaAssid,47035_AvalParcial,47035_TaxaAssid,47176_AvalParcial,47176_TaxaAssid,47215_AvalParcial,47215_TaxaAssid
b1,1749,A1749,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14.2,10,0,,,,,,10,162,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1764,A1764,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,18,,0,0,11.33,30,911.52,20,28/09/2017,Em análise,,1064,10,137,1,2,10,5,,94.12,,100,,100,,100,,,,92.31,,,,
b1,1765,A1765,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,11,10,0,,,,,,10,144.8,1,2,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1768,A1768,F,,CAZAQUISTÃO,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,15.2,10,0,30,17/08/2017,Indeferida,08/03/2018,,10,166.2,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1771,A1771,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,30,30,12,,0,0,13,10,0,20,14/09/2017,Em análise,,1064,10,141.6,1,3,10,5,,93.75,,100,,100,,100,,,,92.31,,,,
b1,1775,A1775,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,15.2,10,0,10,30/09/2017,Deferida,20/11/2017,1064,10,146,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1788,A1788,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,15,10,0,,,,,,10,142.2,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,2014,A2014,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Ordinário,1,60,30,30,12,,0,0,10.5,30,283.58,,,,,,,,,,30,5,,87.5,,100,,100,,100,,,,61.54,,,,
b1,2134,A2134,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Mudança de Curso,Ordinário,1,60,10,30,30,,0,0,12.4,10,0,10,13/09/2017,Deferida,20/11/2017,1064,,,,,10,5,,100,,100,,100,,100,,,,100,,,,
b1,2444,A2444,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,10.8,10,0,10,16/09/2017,Deferida,22/01/2018,3469,10,141.4,1,3,30,5,,100,,94.44,,62.5,,100,,,,76.92,,,,
b1,2685,A2685,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,11.25,30,425.37,30,14/09/2017,Indeferida,27/10/2017,,10,141,2,1,10,5,,100,,94.44,,87.5,,100,,,,84.62,,,,
b1,2875,A2875,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14.2,10,0,,,,,,10,144.4,2,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,2887,A2887,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,10.8,10,0,,,,,,10,137.8,2,2,10,5,,100,,94.44,,100,,100,,,,100,,,,
b1,2922,A2922,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,18,,0,0,10,10,0,,,,,,10,142.6,2,1,30,5,,100,,88.89,,75,,100,,,,84.62,,,,
b1,2966,A2966,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13,30,425.37,10,21/09/2017,Deferida,05/02/2018,1910,10,145.4,2,1,10,5,,100,,94.44,,100,,100,,,,100,,,,
b1,2972,A2972,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,11.8,10,0,30,29/09/2017,Indeferida,06/11/2017,,10,143.2,2,1,10,5,,100,,100,,100,,100,,,,92.31,,,,
b1,2988,A2988,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ANULADO,Regime Geral,Ordinário,1,30,30,30,0,,0,0,0,10,0,,,,,,10,138,2,2,,0,,,,,,,,,,,,,,,,
b1,3028,A3028,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,11.25,30,151.92,10,10/08/2017,Deferida,08/04/2018,1064,10,139.2,2,1,30,5,,100,,94.44,,75,,100,,,,92.31,,,,
b1,3031,A3031,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14,10,0,10,17/08/2017,Deferida,10/11/2017,1064,10,160.6,2,2,10,5,,100,,100,,100,,100,,,,100,,,,
b1,3034,A3034,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,13,10,0,10,02/08/2017,Deferida,21/10/2017,1250,10,142.4,2,2,10,5,,100,,100,,87.5,,100,,,,100,,,,
b1,3096,A3096,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,10.5,30,607.68,10,30/09/2017,Deferida,18/12/2017,1066,10,138,2,1,30,5,,100,,88.89,,75,,100,,,,76.92,,,,
